Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 02/29/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2588173,Microsoft Corp,MSFT,13.02%,Software,US,---,"$1,304,029,468.44","3,152,571"
,2046251,Apple Inc,AAPL,11.19%,"Technology Hardware, Storage & Peripherals",US,---,"$1,120,869,430.50","6,201,214"
,2379504,NVIDIA Corp,NVDA,8.27%,Semiconductors & Semiconductor Equipment,US,---,"$828,858,797.36","1,047,703"
,2000019,Amazon.com Inc,AMZN,6.81%,Broadline Retail,US,---,"$681,838,443.00","3,857,425"
,B7TL820,Meta Platforms Inc,META,4.61%,Interactive Media & Services,US,---,"$461,475,529.81","941,537"
,BYVY8G0,Alphabet Inc,GOOGL,3.47%,Interactive Media & Services,US,---,"$347,569,907.30","2,510,255"
,BYY88Y7,Alphabet Inc,GOOG,2.95%,Interactive Media & Services,US,---,"$295,315,162.92","2,112,714"
,2516152,Eli Lilly & Co,LLY,2.54%,Pharmaceuticals,US,---,"$254,951,102.00","338,275"
,BDZ78H9,Broadcom Inc,AVGO,2.42%,Semiconductors & Semiconductor Equipment,US,---,"$242,157,740.45","186,205"
,B616C79,Tesla Inc,TSLA,2.36%,Automobiles,US,---,"$236,834,310.72","1,173,144"
,2007849,Advanced Micro Devices Inc,AMD,1.32%,Semiconductors & Semiconductor Equipment,US,---,"$131,947,162.49","685,333"
,2310525,Salesforce Inc,CRM,1.27%,Software,US,---,"$127,358,603.28","412,404"
,B2PZN04,Visa Inc,V,1.26%,Financial Services,US,---,"$126,124,708.32","446,238"
,B121557,Mastercard Inc,MA,1.20%,Financial Services,US,---,"$120,058,733.08","252,883"
,2857817,Netflix Inc,NFLX,1.12%,Entertainment,US,---,"$111,843,468.76","185,503"
,2008154,Adobe Inc,ADBE,1.08%,Software,US,---,"$108,223,124.52","193,159"
,2459020,Intuit Inc,INTU,0.79%,Software,US,---,"$78,803,700.31","118,879"
,2661568,Oracle Corp,ORCL,0.75%,Software,US,---,"$75,272,431.68","674,001"
,2917766,UnitedHealth Group Inc,UNH,0.73%,Health Care Providers & Services,US,---,"$73,577,496.80","149,063"
,2046552,Applied Materials Inc,AMAT,0.71%,Semiconductors & Semiconductor Equipment,US,---,"$71,546,873.20","354,860"
,BK6N347,Uber Technologies Inc,UBER,0.69%,Ground Transportation,US,---,"$69,344,590.50","872,259"
,B80NXX8,ServiceNow Inc,NOW,0.67%,Software,US,---,"$67,078,040.42","86,963"
,2704407,Procter & Gamble Co/The,PG,0.62%,Household Products,US,---,"$61,968,639.78","389,887"
,2434209,Home Depot Inc/The,HD,0.60%,Specialty Retail,US,---,"$59,739,403.77","156,957"
,2701271,Costco Wholesale Corp,COST,0.59%,Consumer Staples Distribution & Retail,US,---,"$58,663,165.40","78,860"
,2778844,Merck & Co Inc,MRK,0.55%,Pharmaceuticals,US,---,"$54,666,616.70","429,938"
,B4BNMY3,Accenture PLC,ACN,0.54%,IT Services,US,---,"$53,882,495.38","143,771"
,2502247,Lam Research Corp,LRCX,0.52%,Semiconductors & Semiconductor Equipment,US,---,"$52,433,163.00","55,884"
,BDRXDB4,Booking Holdings Inc,BKNG,0.51%,"Hotels, Restaurants & Leisure",US,---,"$51,331,746.34","14,798"
,B92SR70,AbbVie Inc,ABBV,0.49%,Biotechnology,US,---,"$48,780,638.20","277,084"
,BNZHB81,Linde PLC,LIN,0.48%,Chemicals,US,---,"$48,003,991.92","106,956"
,2180201,Caterpillar Inc,CAT,0.42%,Machinery,US,---,"$41,922,332.76","125,531"
,B87ZMX0,Palo Alto Networks Inc,PANW,0.41%,Software,US,---,"$40,947,880.80","131,856"
,2550707,McDonald's Corp,MCD,0.39%,"Hotels, Restaurants & Leisure",US,---,"$39,574,127.44","135,398"
,2480138,KLA Corp,KLAC,0.39%,Semiconductors & Semiconductor Equipment,US,---,"$39,363,251.60","57,692"
,2685717,ConocoPhillips,COP,0.39%,"Oil, Gas & Consumable Fuels",US,---,"$39,109,900.80","347,520"
,2714923,QUALCOMM Inc,QCOM,0.39%,Semiconductors & Semiconductor Equipment,US,---,"$38,736,340.47","245,493"
,2206657,Coca-Cola Co/The,KO,0.39%,Beverages,US,---,"$38,629,232.12","643,606"
,2871301,Intuitive Surgical Inc,ISRG,0.38%,Health Care Equipment & Supplies,US,---,"$38,019,003.20","98,597"
,2026082,American Express Co,AXP,0.37%,Consumer Finance,US,---,"$37,509,190.74","170,947"
,2867719,Synopsys Inc,SNPS,0.37%,Software,US,---,"$37,035,992.69","64,553"
