Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 01/31/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2588173,Microsoft Corp,MSFT,13.42%,Software,US,---,"$1,227,121,923.24","3,086,478"
,2046251,Apple Inc,AAPL,12.25%,"Technology Hardware, Storage & Peripherals",US,---,"$1,119,528,911.20","6,071,198"
,2379504,NVIDIA Corp,NVDA,6.90%,Semiconductors & Semiconductor Equipment,US,---,"$631,103,973.45","1,025,735"
,2000019,Amazon.com Inc,AMZN,6.41%,Broadline Retail,US,---,"$586,120,404.80","3,776,549"
,B7TL820,Meta Platforms Inc,META,3.93%,Interactive Media & Services,US,---,"$359,629,881.58","921,797"
,BYVY8G0,Alphabet Inc,GOOGL,3.77%,Interactive Media & Services,US,---,"$344,313,682.80","2,457,628"
,BYY88Y7,Alphabet Inc,GOOG,3.21%,Interactive Media & Services,US,---,"$293,302,948.60","2,068,427"
,B616C79,Tesla Inc,TSLA,2.35%,Automobiles,US,---,"$215,109,869.31","1,148,539"
,BDZ78H9,Broadcom Inc,AVGO,2.35%,Semiconductors & Semiconductor Equipment,US,---,"$215,096,300.00","182,285"
,2516152,Eli Lilly & Co,LLY,2.34%,Pharmaceuticals,US,---,"$213,806,663.70","331,170"
,B2PZN04,Visa Inc,V,1.31%,Financial Services,US,---,"$119,385,381.18","436,893"
,2008154,Adobe Inc,ADBE,1.28%,Software,US,---,"$116,821,580.22","189,099"
,2310525,Salesforce Inc,CRM,1.24%,Software,US,---,"$113,492,617.31","403,759"
,2007849,Advanced Micro Devices Inc,AMD,1.23%,Semiconductors & Semiconductor Equipment,US,---,"$112,514,959.30","670,970"
,B121557,Mastercard Inc,MA,1.22%,Financial Services,US,---,"$111,222,609.55","247,585"
,2857817,Netflix Inc,NFLX,1.12%,Entertainment,US,---,"$102,452,529.98","181,618"
,2917766,UnitedHealth Group Inc,UNH,0.82%,Health Care Providers & Services,US,---,"$74,687,429.52","145,948"
,2661568,Oracle Corp,ORCL,0.81%,Software,US,---,"$73,706,473.70","659,861"
,2459020,Intuit Inc,INTU,0.80%,Software,US,---,"$73,483,024.02","116,394"
,B80NXX8,ServiceNow Inc,NOW,0.71%,Software,US,---,"$65,168,452.20","85,143"
,2704407,Procter & Gamble Co/The,PG,0.66%,Household Products,US,---,"$59,979,866.58","381,697"
,2046552,Applied Materials Inc,AMAT,0.62%,Semiconductors & Semiconductor Equipment,US,---,"$57,078,641.50","347,405"
,BK6N347,Uber Technologies Inc,UBER,0.61%,Ground Transportation,US,---,"$55,737,577.58","853,954"
,2434209,Home Depot Inc/The,HD,0.59%,Specialty Retail,US,---,"$54,238,304.32","153,667"
,2701271,Costco Wholesale Corp,COST,0.59%,Consumer Staples Distribution & Retail,US,---,"$53,655,159.20","77,215"
,B4BNMY3,Accenture PLC,ACN,0.56%,IT Services,US,---,"$51,220,112.68","140,761"
,2778844,Merck & Co Inc,MRK,0.56%,Pharmaceuticals,US,---,"$50,838,717.60","420,920"
,BDRXDB4,Booking Holdings Inc,BKNG,0.56%,"Hotels, Restaurants & Leisure",US,---,"$50,798,688.01","14,483"
,2502247,Lam Research Corp,LRCX,0.49%,Semiconductors & Semiconductor Equipment,US,---,"$45,153,302.40","54,720"
,B92SR70,AbbVie Inc,ABBV,0.49%,Biotechnology,US,---,"$44,597,445.60","271,274"
,B87ZMX0,Palo Alto Networks Inc,PANW,0.48%,Software,US,---,"$43,698,594.41","129,091"
,BNZHB81,Linde PLC,LIN,0.46%,Chemicals,US,---,"$42,392,178.28","104,716"
,2550707,McDonald's Corp,MCD,0.42%,"Hotels, Restaurants & Leisure",US,---,"$38,803,841.36","132,563"
,2685717,ConocoPhillips,COP,0.42%,"Oil, Gas & Consumable Fuels",US,---,"$38,062,648.80","340,240"
,2206657,Coca-Cola Co/The,KO,0.41%,Beverages,US,---,"$37,484,411.04","630,096"
,2180201,Caterpillar Inc,CAT,0.40%,Machinery,US,---,"$36,909,900.86","122,906"
,2871301,Intuitive Surgical Inc,ISRG,0.40%,Health Care Equipment & Supplies,US,---,"$36,510,333.04","96,532"
,2714923,QUALCOMM Inc,QCOM,0.39%,Semiconductors & Semiconductor Equipment,US,---,"$35,694,081.48","240,348"
,2681511,PepsiCo Inc,PEP,0.38%,Beverages,US,---,"$34,639,656.20","205,540"
,2867719,Synopsys Inc,SNPS,0.37%,Software,US,---,"$33,701,319.80","63,188"
,2026082,American Express Co,AXP,0.37%,Consumer Finance,US,---,"$33,599,258.98","167,377"
